incidentid,age,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19970213NYSAB,,Male,,Student,Fled/Escaped,No,,,,,
19970219AKBEB,16.0,Male,Native American/Alaska Native,Student,Surrendered,No,,"2 counts, 1st degree murder
1 count, attempted murder
15 counts, assault",Guilty on all charges and sentenced to 210 years,Yes,
19970220FLFIJ,17.0,Female,,Student,Suicide,Yes,Suicide,,,,
19970221NVRAL,20.0,Male,Other,Unknown,Fled/Apprehended,No,,,,,
19970317MIPED,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19970403CAMAM,,,,Unknown,Fled/Escaped,No,,,,,
19970428CAJOL,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19970430NYCIN,,,,Unknown,Fled/Escaped,No,,,,,
19970513FLNOM,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19970520OHDUD,16.0,Male,,Student,Unknown,No,,,,,
19970624ALJEM,16.0,Male,Black,Student,Surrendered,No,,Capital murder,Manslaughter,Yes,
19971001MSPEP,16.0,Male,White,Student,Fled/Apprehended,No,,,,Yes,
19971005OKMOO,,Male,White,Unknown,Fled/Escaped,No,,,,,
19971010INWAG,20.0,Male,,Former Student,Fled/Apprehended,No,,,,,
19971014TXLAG,19.0,Male,,Student,Suicide,Yes,Suicide,,,,
19971015FLLIP,13.0,Male,,Student,Fled/Apprehended,No,,,,,
19971020CAMCO,,,,Unknown,Fled/Escaped,No,,,,,
19971022CAJON,21.0,Male,Asian,Former Student,Suicide,Yes,Suicide,,,,
19971107FLRIJ,18.0,Male,,Student,Fled/Apprehended,No,,,,,
19971113CACRS,39.0,Male,,Relative,Surrendered,No,,,,,
19971201KYHEW,14.0,Male,White,Student,Surrendered,No,,,,,
19971215ARSTS,14.0,Male,White,Student,Fled/Apprehended,No,,,,,
19980212NJHOH,61.0,Male,,Intimate Relationship,Fled/Escaped,Yes,Suicide,,,,
19980225MIRER,14.0,Male,,Student,Suicide,Yes,Suicide,,,,
19980227VAMAF,18.0,Male,Asian,Unknown,Fled/Apprehended,No,,Murder,"Life for shooter; driver of the car Chuop was riding in, Peter Hanvichid, 17, of Spotsylvania County, Va., was sentenced last month to 20 years in prison on a charge of felonious assault by mob. Passenger Saeed Sheikh, 19, of the Fort Hunt section of Fair",No,
19980324ARWEJ,11.0,Male,White,Student,Fled/Apprehended,No,,Murder and Assault,Confinement until they reach the age of 21,No,
19980324ARWEJ,13.0,Male,White,Student,Fled/Apprehended,No,,Murder and Assault,Confinement until they reach the age of 21,No,
19980325CAFED,13.0,Male,,Student,Fled/Apprehended,No,,,,,
19980325MICOC,18.0,Male,,Student,Suicide,Yes,Suicide,,,,
19980330NCGRC,13.0,Female,,Student,Suicide,Yes,Suicide,,,,
19980331WIOAO,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19980423CACUL,,,,Unknown,Fled/Escaped,No,,,,,
19980424PAPAE,14.0,Male,White,Student,Fled/Apprehended,No,,First Degree Murder,"Pleaded guilty, 30-60 years in prison",Yes,
19980428CAPHP,14.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19980428WIPAP,15.0,Male,,No Relation,Fled/Apprehended,No,,"First Degree Attempted Homicide, armed robbery, carrying a dangerous weapon, carrying a firearm on school property",,Yes,
19980501FLNOM,,Male,,Unknown,Fled/Apprehended,No,,,,,
19980501NYPUB,37.0,Male,,Police Officer/SRO,Fled/Apprehended,No,,,,,
19980519TNLIF,18.0,Male,,Student,Unknown,No,,First-degree murder,First-degree murder,,
19980521CARIR,15.0,Male,Hispanic,Student,Suicide,Yes,Suicide,,,,
19980521ORTHS,15.0,Male,White,Student,Apprehended/Killed by LE,No,,,,,Charged with bringing gun to school that day
19980521WAONO,14.0,Male,,Student,Suicide,Yes,Suicide,,,,
19980527CAWAP,,Male,,Unknown,Fled/Escaped,No,,,,,
19980529FLSTF,29.0,Male,White,Intimate Relationship,Suicide,Yes,Suicide,,,,
19980615VAARR,15.0,Male,,Student,Fled/Apprehended,No,,,,Yes,
19980911CAHEG,17.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19980930FLLEL,17.0,Male,,Student,Apprehended/Killed by LE,No,Wounded,,,,
19980930FLNOM,18.0,Male,,Student,Fled/Apprehended,No,,3 counts of attempted first degree murder,,,
19980930FLNOM,17.0,Male,,Student,Fled/Apprehended,No,,3 counts of attempted first degree murder,,,
19981103PAMAP,19.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19981103PAMAP,17.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19981130NYHAH,14.0,Female,,Student,Suicide,Yes,Suicide,,,,
19981203INERG,36.0,Female,,Parent,Fled/Apprehended,No,,,,,
19981211INBEI,,Male,,Student,Unknown,No,,,,,
19990108GACEC,15.0,Female,,Student,Suicide,Yes,Suicide,,,,
19990108GACEC,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19990114NYHAN,16.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19990121TXRIN,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
19990211ILOME,,Male,,Unknown,Fled/Escaped,No,,,,,
19990211MSJEP,44.0,Male,,Unknown,Surrendered,No,,,,,
19990304ILNIS,26.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,Yes,Suicide,,,,
19990416IDNON,16.0,Male,White,Student,Surrendered,No,,,,,
19990420COCOL,17.0,Male,White,Student,Suicide,Yes,Suicide,,,,No
19990420COCOL,18.0,Male,White,Student,Suicide,Yes,Suicide,,,,No
19990422GAMAA,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19990422LASCB,14.0,Male,,Former Student,Fled/Apprehended,No,,,,,
19990520GAHEC,15.0,Male,White,Student,Fled/Apprehended,No,,,,,
19990825GAJAM,16.0,Female,,Student,Suicide,Yes,Suicide,,,,
19990909CASAS,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
19990927FLEGT,,,,Unknown,Unknown,No,,,,,
19991004SDJOP,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19991011NVCLL,18.0,Male,Hispanic,Unknown,Fled/Apprehended,No,,,,,
19991021CASAP,,Male,,Unknown,Fled/Escaped,No,,,,,
19991026PAMAP,19.0,Male,,Former Student,Fled/Apprehended,No,,,,,
19991026WVGUB,66.0,Male,,Other Staff,Suicide,Yes,Suicide,,,,
19991117TXDID,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19991119NMDED,13.0,Male,Hispanic,Student,Surrendered,No,,,,,
19991206OKFOF,13.0,Male,White,Student,Subdued by Students/Staff/Other,No,,,,,
20000110AKBAA,16.0,Male,,Student,Fled/Escaped,No,,"charged with misconduct involving a weapon, assault and criminal mischief",,,
20000113NMALA,,Male,,Rival School Student,Fled/Apprehended,No,,,,,
20000119FLRIN,16.0,Male,White,Student,Unknown,No,,,,,
20000120NCERA,17.0,Male,,Former Student,Fled/Apprehended,No,,,,,
20000126CAALM,13.0,Male,,Student,Fled/Apprehended,No,,,,,
20000126NESOO,,Male,,Student,Fled/Escaped,No,,,,,
20000210PAPEY,13.0,Male,,Student,Fled/Apprehended,No,,,,,
20000214ILDUC,12.0,Male,,Student,Fled/Escaped,No,,,,,
20000229MIBUF,6.0,Male,Black,Student,Unknown,No,,never charged with the murder due to his age,,No,
20000310GABES,19.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,"2 counts murder, 1 aggravated assault",,,
20000323OHMCL,13.0,Male,,Student,Surrendered,No,,,,,
20000406OKHUH,35.0,Female,,Parent,Apprehended/Killed by LE,No,,,,,
20000410AZLAT,35.0,Female,,Teacher,Surrendered,No,Wounded,,,,
20000502COTHD,16.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
20000510AZCAS,39.0,Male,,Intimate Relationship,Suicide,Yes,Suicide,,,,
20000526FLLAL,13.0,Male,Black,Student,Subdued by Students/Staff/Other,No,,Murder,"1st Degree Murder, 38 years",Yes,
20000717WADIR,13.0,Male,,Student,Fled/Apprehended,No,,,,,
20000726OHTIC,18.0,Male,,Student,Fled/Apprehended,No,,,,,
20000905OHBIB,66.0,Male,,Intimate Relationship,Fled/Escaped,Yes,Suicide,,,,
20000907ILLOR,19.0,Male,White,No Relation,Fled/Apprehended,No,,First-degree murder,First-degree murder,No,
20000918OHMOM,14.0,Male,,Student,Surrendered,No,,,,,
20000926LACAN,13.0,Male,Black,Student,Apprehended/Killed by LE,No,,,,,
20000926LACAN,15.0,Male,Black,Student,Apprehended/Killed by LE,No,,,,,
20001005MNMIM,,Male,,Nonstudent,Fled/Escaped,No,,,,,
20001024AZPIG,14.0,Male,,Former Student,Surrendered,No,,,,,
20001101TXNEC,15.0,Male,,Student,Apprehended/Killed by LE,No,,,,,
20001201CAGRL,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
20001201CAJUS,15.0,Male,,Student,Surrendered,No,Wounded,,,,
20001207CARIR,,,,Unknown,Fled/Escaped,No,,,,,
20001221FLNOM,,Male,,No Relation,Fled/Escaped,No,,,,,
20010103CABAS,15.0,Male,,Student,Fled/Apprehended,No,Wounded,,,,
20010110CAHUO,17.0,Male,Hispanic,Nonstudent,Apprehended/Killed by LE,Yes,Fatal,,,,
20010117MDLAB,19.0,Male,,Unknown,Fled/Apprehended,No,,,,,
20010202MIOSD,,Male,,Student,Fled/Escaped,No,,,,,
20010302CAHOS,18.0,Male,,Student,Suicide,Yes,Suicide,,,,
20010305CASAS,15.0,Male,White,Student,Apprehended/Killed by LE,No,,,,,
20010306MDLAL,14.0,Male,,Student,Fled/Apprehended,No,,,,,Multiple robbery charges
20010307PABIW,14.0,Female,White,Student,Surrendered,No,,,Sentenced to psychiatric facility for an open ended time,No,
20010307WAKEC,16.0,Male,,Student,Surrendered,No,,,,,
20010322CAGRE,18.0,Male,White,Student,Fled/Apprehended,Yes,Suicide,,,,
20010330INLEG,17.0,Male,Black,Former Student,Fled/Apprehended,No,,,,,
20010402TXKLH,13.0,Female,,Student,Suicide,Yes,Suicide,,,,
20010410WAWAM,16.0,Male,,Student,Surrendered,No,,,,,
20010420LAMOM,14.0,Male,,Student,Apprehended/Killed by LE,No,,,,,
20010425OHJOC,,,,Unknown,Fled/Escaped,No,,,,,
20010515TXENE,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
20010607TXOUA,,,,Police Officer/SRO,Law Enforcement,No,,,,,
20010730CABEL,,Male,,No Relation,Fled/Escaped,No,,,,,
20010912KYLAC,30.0,Female,White,Parent,Surrendered,No,,,,,
20010921MDLAB,16.0,Male,,Student,Fled/Apprehended,No,,,,,
20011012UTTAT,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
20011026CARER,17.0,Male,,Student,Surrendered,No,,,,,
20011026MIBES,,Male,,Student,Unknown,No,,,,,
20011112MICAC,17.0,Male,,Former Student,Suicide,Yes,Suicide,,,,
20011130TXFRF,54.0,Female,,Teacher,Surrendered,No,,,,,
20020111MSRAJ,18.0,Male,Black,Student,Surrendered,No,,enderson is charged with two counts of kidnapping and one count of having a weapon on school property,,,
20020115NYMAN,18.0,Male,Hispanic,Student,Fled/Apprehended,No,,,,,
20020124PAOLO,63.0,Male,,Other Staff,Surrendered,No,,,,,
20020201TXBRB,39.0,Male,,Other Staff,Unknown,No,,,,,
20020206CAGAL,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20020207ILROC,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20020322CAJOC,13.0,Male,,Student,Surrendered,No,,33 counts of felony false imprisonment,,,
20020406MDLEB,,Male,,Police Officer/SRO,Law Enforcement,No,,Officer charged with 2nd degree murder,,,
20020426LAABN,38.0,Male,,Security Guard,Surrendered,No,,,,,
20021004MTCMG,18.0,Male,White,Relative,Fled/Apprehended,No,,,,,
20021004TXPAS,13.0,Female,,Student,Suicide,Yes,Suicide,,,,
20021007MDBEB,17.0,Male,Black,No Relation,Fled/Apprehended,No,,,,,
20021029NJLIJ,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20021107MOSTL,43.0,Male,,Parent,Fled/Apprehended,No,,,,,
20021115CAAML,,,,Unknown,Fled/Escaped,No,,,,,
20021115TXSCS,18.0,Male,,Former Student,Subdued by Students/Staff/Other,No,,,,,Stole teachers car (expelled for it)
20021202MIOSD,15.0,Male,,Student,Unknown,No,Wounded,,,,
20021212WAWIC,13.0,Male,,Student,Suicide,Yes,Suicide,,,,
20021216ILENC,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20030121KYWEO,12.0,Male,,Student,Surrendered,No,,,,,
20030130OKJEJ,17.0,Male,,Student,Surrendered,No,,,,,
20030205CORAW,14.0,Male,,Student,Fled/Apprehended,No,,,,,
20030318IACLG,17.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
20030321MSNOM,15.0,Male,,Student,Suicide,Yes,Suicide,,,,
20030330CAROW,20.0,Male,,No Relation,Fled/Apprehended,No,,,,,
20030401DCCAW,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20030414LAFAS,18.0,Male,,Student,Fled/Apprehended,No,,,,,
20030414LAJON,17.0,Male,Black,Rival School Student,Fled/Apprehended,No,,,,,
20030414LAJON,17.0,Male,Black,Rival School Student,Fled/Apprehended,No,,,,,
20030414LAJON,18.0,Male,Black,Rival School Student,Fled/Apprehended,No,,,,,
20030416TXGRA,12.0,Female,,Student,Suicide,Yes,Suicide,,,,
20030424PARER,14.0,Male,White,Student,Suicide,Yes,Suicide,,,,
20030513PAFOJ,18.0,Male,,Student,Suicide,Yes,Suicide,,,,
20030604PAROW,12.0,Male,,Student,Suicide,Yes,Suicide,,,,
20030910MSVIV,20.0,Male,,No Relation,Fled/Apprehended,No,,,,,
20030917MACHB,14.0,Male,,Student,Fled/Apprehended,No,,,,,
20030917MDOKE,13.0,Male,,Student,Surrendered,No,,,,,
20030922WALES,16.0,Male,White,Student,Apprehended/Killed by LE,No,,,,,
20030924MNROC,16.0,Male,White,Student,Surrendered,No,,,,,
20030925NCBUL,13.0,Male,,Student,Apprehended/Killed by LE,No,,,,,
20031001CARIS,18.0,Male,,Police Officer/SRO,Apprehended/Killed by LE,No,Wounded,,,,
20031007OHKEA,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20031029LAMAM,14.0,Male,,Student,Apprehended/Killed by LE,No,,,,,
20031030DCANW,,Male,,Unknown,Fled/Escaped,No,,,,,
20031108TXHIS,21.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
20031113NCEAC,15.0,Male,,Student,Unknown,No,,,,,
20031202ILFEC,,Male,,Police Officer/SRO,Apprehended/Killed by LE,Yes,Fatal,,,No,
20031204OKDOO,18.0,Male,,Student,Fled/Apprehended,No,,,,,
20031205ILCAC,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20031217MDOLM,,,,Unknown,Fled/Escaped,No,,,,,
20031222NJCOW,23.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
20031229FLABE,16.0,Male,,Unknown,Fled/Apprehended,No,Wounded,,,,
20040115CAPOP,17.0,Male,,Student,Unknown,No,,,,,
20040121NVFAH,40.0,Male,Black,Intimate Relationship,Apprehended/Killed by LE,Yes,Fatal,,,,
20040202DCBAW,18.0,Male,Black,Student,Fled/Apprehended,No,,,,,
20040203TXYOH,12.0,Male,,Student,Surrendered,No,Wounded,,,,
20040206LAFAS,,,,Police Officer/SRO,Law Enforcement,No,,,,,
20040209NYCOE,16.0,Male,White,Student,Subdued by Students/Staff/Other,No,,,,,
20040211PATMP,22.0,Male,Black,No Relation,Fled/Apprehended,No,,,Life in prison,,
20040211PATMP,21.0,Male,Black,No Relation,Fled/Apprehended,No,,,Life in prison,,
20040213OHCOD,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20040220LAGAS,41.0,Male,,Intimate Relationship,Fled/Escaped,Yes,Suicide,,,,
20040305CASAL,,Male,,Unknown,Fled/Escaped,No,,,,,
20040317WACRJ,13.0,Male,,Student,Suicide,Yes,Suicide,,,,
20040504TXKAH,,Male,,Unknown,Fled/Escaped,No,,,,,
20040507MDRAR,17.0,Male,Black,Unknown,Fled/Apprehended,No,,,,,
20040507MDRAR,21.0,Male,Black,Student,Fled/Apprehended,No,,Felony Assault X4,100 years,Yes,
20040512CAEAM,20.0,Male,,Gang Member,Fled/Apprehended,No,,,,,
20040524UTWES,52.0,Male,,Intimate Relationship,Suicide,Yes,Suicide,,,,
20040609CACAO,,Male,,Unknown,Fled/Escaped,No,,,,,
20040803ALHUB,17.0,Male,,Student,Fled/Apprehended,No,,Attempted murder,,,
20040824TNHAM,16.0,Male,,Student,Unknown,No,,,,,
20040830ILPRM,,Male,Black,No Relation,Fled/Escaped,No,,,,,
20040912LABON,34.0,Female,,Unknown,Unknown,No,,,,,
20040915INWIG,16.0,Male,,Student,Fled/Apprehended,No,,,,,
20041002NEJEG,20.0,Male,,No Relation,Fled/Apprehended,No,,,,,
20041007MANEN,15.0,Male,,Student,Suicide,Yes,Suicide,,,,
20041012CALAS,25.0,Male,,No Relation,Apprehended/Killed by Other,Yes,Fatal,,,,
20041012CALAS,25.0,Male,,No Relation,Apprehended/Killed by Other,Yes,Fatal,,,,
20041015CABIB,19.0,Male,,Unknown,Fled/Apprehended,No,,,,,
20041021MDTHB,16.0,Male,,Student,Fled/Apprehended,No,,,,,Multiple criminal charges and on probation
20041022CATYH,,,,Unknown,Fled/Escaped,No,,,,,
20041115ALPAB,20.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,Attempted murder,,,
20041115INBRG,22.0,Male,,Parent,Fled/Apprehended,No,,,,,
20041115INBRG,22.0,Male,,Parent,Fled/Apprehended,No,,,,,
20041116SCBAB,20.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
20041117FLAPA,14.0,Male,,Student,Apprehended/Killed by LE,No,,,,,
20041119FLTEJ,,Male,,Student,Surrendered,No,,,,,
20041209WALAS,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
20041213LALAL,,Male,,Unknown,Fled/Escaped,No,,,,,
20041231TXRIR,38.0,Male,,Other Staff,Suicide,Yes,Suicide,,,,
20050105PAMUN,16.0,Male,,Unknown,Fled/Apprehended,No,,,,,
20050126ILWOP,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20050204GAMCA,19.0,Male,,Relative,Unknown,No,,,,,
20050208ILBOC,,Male,,Student,Fled/Escaped,No,,,,,
20050302TNSTD,14.0,Male,White,Student,Fled/Apprehended,No,,,,,
20050309TNMAN,16.0,Male,,Former Student,Fled/Escaped,No,,,,,
20050310TXZAD,,Male,,Unknown,Fled/Escaped,No,,,,,
20050314OHLEC,7.0,Male,,Student,Surrendered,No,,,,,
20050316PACAP,21.0,Male,,No Relation,Fled/Apprehended,No,,Murder,,,
20050317CALOL,18.0,Male,Black,No Relation,Fled/Apprehended,No,,Y,One count of murder and one count of attempted murder - sentenced to 82 years,No,
20050317LAOPA,,Male,,Student,Fled/Escaped,No,,No suspect to charge.,,,
20050321MNRER,16.0,Male,Native American/Alaska Native,Former Student,Suicide,Yes,Suicide,,,,
20050321NYNEB,15.0,Male,,Student,Fled/Apprehended,No,Wounded,,,,
20050324TNFAM,17.0,Female,,Student,Unknown,No,Wounded,,,,
20050330TNEAM,17.0,Male,,Student,Fled/Apprehended,No,Wounded,,,,
20050407TXCAC,45.0,Male,White,Parent,Fled/Apprehended,No,,,,,
20050427LALER,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20050429OHDAC,17.0,Male,,Unknown,Fled/Apprehended,No,,,,,
20050514TXBER,17.0,Male,,Rival School Student,Fled/Apprehended,No,,,,,
20050517PAHIL,47.0,Male,,Intimate Relationship,Suicide,Yes,Suicide,,,,
20050520ILLOM,19.0,Male,,Former Student,Unknown,No,,Aggravated battery,,,
20050524COACD,,,,Unknown,Fled/Escaped,No,,,,,
20050524LABOS,16.0,Male,,Student,Fled/Apprehended,No,Wounded,,,,
20050608NYARP,17.0,Male,,Student,Fled/Apprehended,No,,"charged with criminal possession of a weapon, felony attempted assault, two counts of felony assault and two misdemeanor charges for reckless endangerment",,,
20050612NJBAA,,Male,,No Relation,Fled/Escaped,No,,,,,
20050718NJWEN,25.0,Male,,Relative,Fled/Apprehended,No,Wounded,,,,
20050816VICOE,,Male,,No Relation,Fled/Escaped,No,,,,,
20050816VICOE,,Male,,No Relation,Fled/Escaped,No,,,,,
20050817CAPLB,26.0,Male,,No Relation,Fled/Apprehended,No,,,,,
20050819GAMOM,,Male,,Unknown,Fled/Escaped,No,,,,,
20050825TNMAD,,Male,,Student,Apprehended/Killed by LE,No,,,,,
20050901AKDIA,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20050902FLSOJ,21.0,Male,,No Relation,Fled/Escaped,No,,,,,
20050913ILHAC,15.0,Male,Black,Student,Apprehended/Killed by LE,No,,,,,
20050924MISAS,,,,Unknown,Fled/Escaped,No,,,,,
20051011MIFAF,17.0,Male,,Student,Surrendered,No,,,,,
20051014NYSAN,,Male,,Student,Fled/Escaped,No,,,,,
20051019CASAS,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20051020MISAS,15.0,Male,,Student,Fled/Apprehended,No,,,,,
20051027CABIF,,Male,,No Relation,Fled/Escaped,No,,,,,
20051028MDANA,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20051028NYFAF,,Male,,Unknown,Fled/Escaped,No,,No suspect to charge,,,
20051108TNCAJ,15.0,Male,White,Student,Subdued by Students/Staff/Other,No,,1st degree murder (as adult); plea bargain of second-degree murder and 2 counts of attempted second-degree murder,"1 count second-degree murder, 2 counts second-degree murder; 45 years in prison, juvenile prison until 18; after many appeals Feb 2014 sentence commuted to 1 count of reckless homicide and not guilty of attempted second-degree murder, time served was coun",Yes,
20051115FLPAM,17.0,Female,,Student,Surrendered,No,,,,,
20051116TXIRS,,Male,,Police Officer/SRO,Law Enforcement,No,,,,,
20051205MABOR,17.0,Male,Black,Student,Surrendered,No,,,,,
20051206CASAG,,Male,Hispanic,Unknown,Fled/Escaped,No,,,,,
20051206MICED,,,,Nonstudent,Fled/Escaped,No,,,,,
20060103NJLIJ,,Male,,Student,Fled/Escaped,No,,,,,
20060110DEMOW,,Male,,Student,Fled/Escaped,No,,,,,
20060111WIMAM,,,,Unknown,Fled/Escaped,No,,,,,
20060113ALPIP,20.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Apprehended/Killed by LE,No,,,,,
20060113FLMIL,15.0,Male,White,Student,Apprehended/Killed by LE,Yes,Fatal,,,,
20060113MIOSD,,Male,,Student,Fled/Apprehended,No,,,,,
20060118MTFRA,15.0,Female,,Student,Fled/Apprehended,No,,Assault with a weapon,,No,
20060118TXPAA,,Male,,Student,Surrendered,No,,,,,
20060118VAINC,20.0,Male,,Nonstudent,Fled/Apprehended,No,,,,,
20060119OHWIC,19.0,Male,,Nonstudent,Fled/Apprehended,No,,,,,
20060119OHWIC,20.0,Male,,Nonstudent,Fled/Apprehended,No,,,,,
20060123CAWIV,14.0,Male,,Student,Unknown,No,,,,,
20060127TXLAG,16.0,Male,,Student,Unknown,No,,,,,
20060130MTCMG,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
20060203CALOC,9.0,Male,,Student,Unknown,No,,,,,
20060209DEWIN,,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,,,,,
20060215PAWEY,,Male,,Teacher,Suicide,Yes,Suicide,,,,
20060221PAWEP,23.0,Male,,No Relation,Fled/Apprehended,No,,,,,
20060223ORROR,14.0,Male,White,Student,Fled/Apprehended,No,,,,,
20060310NYISN,14.0,Male,,Student,Surrendered,No,,,,,
20060310NYISN,16.0,Male,,Student,Surrendered,No,,,,,
20060314NVPIR,14.0,Male,White,Student,Subdued by Students/Staff/Other,No,,,,,
20060405DCROW,,,,Unknown,Fled/Escaped,No,,,,,
20060418TXWEH,,Male,,No Relation,Fled/Escaped,No,,,,,
20060424NCEAC,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20060505FLPAM,,Male,,Student,Fled/Escaped,No,,,,,
20060522SCBUI,19.0,Male,,Student,Apprehended/Killed by SRO,No,,,,,
20060525PANON,18.0,Male,,Student,Surrendered,No,,,,,
20060605CAVEL,,Male,Black,Unknown,Fled/Escaped,No,,,,,
20060606INWIG,19.0,Male,,Relative,Fled/Apprehended,No,,Reckless homicide and possession of firearm,,,
20060615MIPED,,Male,,No Relation,Fled/Escaped,No,,,,,
20060731FLYOT,54.0,Male,Hispanic,Intimate Relationship,Suicide,Yes,Suicide,,,,
20060815KYJTV,13.0,Male,,Student,Surrendered,No,,,,,
20060817TXMEA,20.0,Male,Hispanic,No Relation,Fled/Apprehended,No,,Murder,,,
20060817TXMEA,17.0,Male,Hispanic,No Relation,Fled/Apprehended,No,,Aggrevated Assault,,Yes,
20060819OHSOY,25.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
20060820GALYH,,Male,,Unknown,Fled/Escaped,No,,,,,
20060821INCAN,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
20060824VTESE,26.0,Male,Black,Intimate Relationship,Fled/Apprehended,No,Wounded,,,,
20060829DCANW,16.0,Male,,Student,Fled/Apprehended,No,,,,,
20060830NCORH,18.0,Male,Hispanic,Former Student,Surrendered,No,,,,,
20060831ALOXO,21.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
20060905TNKIM,,,,Parent,Fled/Escaped,No,,,,,
20060908TXSOF,,Male,,Police Officer/SRO,Law Enforcement,No,,,,,
20060913MOWEC,17.0,Male,,Student,Apprehended/Killed by LE,No,Wounded,,,No,
20060921DCCAW,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20060927COPLB,53.0,Male,White,Unknown,Suicide,Yes,Suicide,,,,
20060929WIWEC,15.0,Male,White,Student,Subdued by Students/Staff/Other,No,,,First degree intentional homicide,Yes,
20061002PAWEN,32.0,Male,White,No Relation,Suicide,Yes,Suicide,,,,
20061009MOMEJ,13.0,Male,White,Student,Surrendered,No,,,,,
20061010NYPOP,,Male,,Student,Fled/Apprehended,No,,,,,
20061012MDGRB,8.0,Male,,Student,Unknown,No,,,,,
20061017TXSEK,16.0,Female,,Student,Suicide,Yes,Suicide,,,,
20061031TNHAK,39.0,Male,,No Relation,Fled/Apprehended,No,,,,,
20061111CALIO,,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,,,,,
20061122GASAA,,Male,,Unknown,Fled/Escaped,No,,,,,
20061201NCJOT,20.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
20061207NENOO,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20061211ILCLC,17.0,Male,,Student,Fled/Apprehended,No,,,,,
20061212PASPS,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
20061213PABAB,,Male,,Student,Unknown,No,,Shooter was suspended for 10 days and could face expulsion and/or criminal charges,,,
20061214PAMCC,17.0,Male,White,Student,Suicide,Yes,Suicide,,,,
20070102NCWEF,14.0,Male,,Student,Fled/Apprehended,No,,,,,
20070103WAHET,18.0,Male,Asian,Student,Surrendered,No,,,,,
20070104MINOD,,Male,,Unknown,Fled/Escaped,No,,,,,
20070108OHROC,16.0,Male,,Student,Fled/Apprehended,No,,,,,
20070109CAGRV,,Male,,Unknown,Fled/Escaped,No,,,,,
20070109NVWEL,,Male,,No Relation,Fled/Apprehended,No,,,,,
20070118PAWIP,,Male,,Student,Fled/Escaped,No,,,,,
20070124TNHAS,17.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
20070131ILHIC,,Male,,Nonstudent,Fled/Escaped,No,,,,,
