incidentid,race,injury,gender,schoolaffiliation,age
19871030NCSOK,,Wounded,Male,Student,16.0
19871030NCSOK,,Wounded,Male,Student,17.0
19871104MISOD,,Wounded,Male,Student,16.0
19871114FLCLC,,,Male,Student,18.0
19871130TXPES,,Fatal,Female,Teacher,35.0
19871202FLENJ,,,,,
19871204NYEAN,,Wounded,Female,Teacher,23.0
19871215NYGRB,,Wounded,Male,Student,16.0
19871216TXMAK,,,Male,Student,15.0
19880105PASPS,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,17.0
19880106FLGAT,White,,Female,Student,17.0
19880108PACRM,,Wounded,Male,Student,15.0
19880120LASIR,,Fatal,Female,Student,17.0
19880129TXREA,Black,Fatal,Female,Student,17.0
19880202ALWET,,,,,
19880211FLPIL,,Wounded,Female,Teacher,
19880211FLPIL,,Fatal,Male,Other Staff,
19880211FLPIL,,Wounded,Male,Other Staff,22.0
19880226RIBRB,,Wounded,Male,Student,15.0
19880304MILED,,Wounded,,Student,12.0
19880323CACAS,,,,,
19880324TXTRA,,,,,
19880505ILMAC,,Wounded,Male,Student,18.0
19880516FLFOF,,Wounded,Male,Student,14.0
19880520ILHUW,,Fatal,Male,Student,8.0
19880520ILHUW,,Wounded,Male,No Relation,20.0
19880520ILHUW,,Wounded,Female,Student,
19880520ILHUW,,Wounded,Female,Student,
19880520ILHUW,,Wounded,Male,Student,
19880520ILHUW,,Wounded,Male,Student,
19880520ILHUW,,Wounded,Male,Student,
19880531NYPUB,,Wounded,Female,Teacher,27.0
19880602MSWIJ,,Wounded,Male,Student,18.0
19880602MSWIJ,,Wounded,Male,Student,17.0
19880617MIJOD,,Wounded,Male,Student,15.0
19880630HIAIO,White,Wounded,Female,Teacher,41.0
19880710WISIM,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,
19880711MSLAJ,Black,Wounded,Male,Student,16.0
19880831MICED,,Wounded,Male,Student,17.0
19880831SCWEA,,Fatal,Male,Principal/Vice-Principal,35.0
19880902GAGLA,,Wounded,Male,Other Staff,
19880902GAGLA,,Wounded,Male,Other Staff,
19880902NCGAC,,Wounded,Male,Other Staff,42.0
19880902NCGAC,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20.0
19880902NCGAC,,Wounded,Male,Student,18.0
19880902NCGAC,,Wounded,Female,Unknown,
19880903TXLID,,Wounded,Male,Student,15.0
19880903TXLID,,Wounded,Female,Student,15.0
19880922ILMOC,,Fatal,Male,Other Staff,33.0
19880922ILMOC,,Fatal,Male,No Relation,26.0
19880922ILMOC,Hispanic,Wounded,Male,Police Officer/SRO,38.0
19880922ILMOC,,Fatal,Female,Police Officer/SRO,40.0
19880922ILMOC,,Fatal,Male,No Relation,41.0
19880922ILMOC,,Wounded,Male,No Relation,35.0
19880926SCOAG,,Wounded,Female,Teacher,
19880926SCOAG,,Wounded,Male,Student,6.0
19880926SCOAG,,Wounded,Female,Teacher,
19880926SCOAG,Black,Wounded,Female,Student,6.0
19880926SCOAG,,Wounded,Female,Student,8.0
19880926SCOAG,White,Wounded,Female,Student,6.0
19880926SCOAG,Black,Fatal,Female,Student,8.0
19880926SCOAG,Black,Fatal,Female,Student,8.0
19880926SCOAG,,Wounded,,Student,8.0
19880926SCOAG,,Wounded,,Student,8.0
19880926SCOAG,,Wounded,,Student,8.0
19881003FLMAM,,Wounded,Female,Student,
19881004FLJEJ,,Wounded,Female,Student,
19881004FLJEJ,,Wounded,Female,Student,
19881004FLJEJ,,Wounded,Female,Student,
19881004FLJEJ,,Wounded,Female,Student,
19881004FLJEJ,,Wounded,Female,Student,
19881004LAISB,,,,Other Staff,
19881005MDEDB,,Wounded,Female,Student,15.0
19881006ALMOM,,Wounded,Female,Teacher,35.0
19881007MDSOB,,Wounded,Male,Student,17.0
19881007TXDIP,,Wounded,Female,Bus Driver,40.0
19881101FLPAJ,,,Male,Student,18.0
19881107UTGLS,,Wounded,Male,Student,
19881122TXABA,,Wounded,Male,Teacher,
19881216VAATV,,Fatal,Female,Teacher,41.0
19881216VAATV,,Wounded,Male,Teacher,37.0
19890105ARHEL,,Fatal,Male,Student,16.0
19890117CACLS,,Wounded,Female,Teacher,
19890117CACLS,Asian,Fatal,Female,Student,8.0
19890117CACLS,Asian,Wounded,Male,Student,7.0
19890117CACLS,Asian,Fatal,Female,Student,8.0
19890117CACLS,Asian,Fatal,Male,Student,9.0
19890117CACLS,White,Wounded,Male,Student,6.0
19890117CACLS,Asian,Wounded,Female,Student,7.0
19890117CACLS,Asian,Fatal,Female,Student,6.0
19890117CACLS,Asian,Fatal,Female,Student,6.0
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890117CACLS,,Wounded,,Student,
19890126DCWOW,,Wounded,Male,Student,
19890126DCWOW,,Wounded,Male,Student,
19890126DCWOW,,Wounded,Male,Student,
19890126DCWOW,,Wounded,Male,Student,
19890210UTTHK,,,Male,Principal/Vice-Principal,
19890303INWIG,Black,Fatal,Male,Student,17.0
19890426TXAMD,,Wounded,Male,Student,16.0
19890911AZDYE,White,Fatal,Male,Student,15.0
19890918KYJAM,,,,,
19891005CALOA,,Wounded,Male,Student,14.0
19891031TXOLD,,Wounded,Male,Student,14.0
19891113NYALN,,Fatal,Male,Student,17.0
19891115TXWOA,,Wounded,Male,Principal/Vice-Principal,44.0
19891122CACHO,Hispanic,Fatal,Male,Gang Member,20.0
19891204LACAS,,Wounded,Male,Student,
19891205PASEM,,Wounded,Male,Student,
19891205TXWWD,,Wounded,Male,Teacher,50.0
19891212SCCHC,,Wounded,Male,Student,15.0
19900116RICEP,,Wounded,Male,Student,
19900116RICEP,,Wounded,Female,Student,
19900220OHTAC,,Fatal,Male,Former Student,18.0
19900327NYNEB,,Wounded,Male,Student,
19900403TXSKD,,Wounded,Male,Student,16.0
19900504CAMOE,White,Fatal,Male,Student,15.0
19900504CAMOE,Black,Wounded,Male,Student,15.0
19900520TNHIC,,Fatal,Male,Principal/Vice-Principal,
19900531TXSUF,,Wounded,Male,Student,
19900531TXSUF,,Wounded,Male,Student,
19900824NCMYC,,Fatal,Male,Student,
19900827NVELL,,Fatal,Male,Student,
19900827TXWHD,,,,Student,
19900911TXSAS,,Wounded,Male,Student,
19900911TXSAS,,Wounded,Male,Student,
19900911TXSAS,,Wounded,Male,Student,
19900922ALLEB,,Wounded,Male,No Relation,16.0
19900922ALLEB,,Wounded,Male,No Relation,19.0
19901002TXWHD,Hispanic,Wounded,Female,Student,
19901029INCHC,,,,,
19901030TXNAG,,Wounded,Male,Principal/Vice-Principal,
19901213LASAS,,,,,
19910108TXRIR,White,,Male,Student,16.0
19910117TXHOD,,Wounded,Female,Student,15.0
19910219LABON,Black,Fatal,Male,Student,15.0
19910219LABON,Black,Wounded,Female,Student,18.0
19910313ALSES,,Wounded,Male,Student,18.0
19910313ALSES,,Wounded,Male,Student,17.0
19910314SCWOP,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20.0
19910314SCWOP,,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,20.0
19910314SCWOP,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20.0
19910314SCWOP,,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,11.0
19910325NCGAC,,Fatal,Male,Former Student,21.0
19910411SCNOR,,,Female,Student,
19910423CARAC,,Fatal,Male,Student,11.0
19910423MSHUB,,Wounded,Male,Student,16.0
19910510OHFRC,,Fatal,Male,Student,18.0
19910516KSCOK,,Wounded,Male,Student,13.0
19910516KSCOK,,Wounded,Female,Student,13.0
19910521CAROS,,Fatal,Male,Student,
19910521FLSCP,,Wounded,Male,Student,
19910521FLSCP,,Wounded,Male,Student,
19910521FLSCP,,Fatal,Female,Student,15.0
19910722CAWEL,,Wounded,Male,Student,
19910730CAENC,,Wounded,Male,Student,
19910913TXMAH,,Fatal,Male,Student,
19910917ILWOC,,Wounded,Male,Student,
19910918TXCRC,,Fatal,Male,Student,17.0
19911002TXSPH,,Wounded,Male,Student,
19911004CADOL,,Wounded,Male,Student,
19911004CADOL,,Wounded,Male,Student,
19911004CAROL,,,,,
19911009NYJAB,Black,Fatal,Male,Student,
19911011MAMAR,Black,Wounded,Male,Nonstudent,17.0
19911015NHMOS,,Wounded,,Student,
19911015NHMOS,,Wounded,,Student,
19911015SCWOW,,,,,
19911015TXGEP,,Wounded,Male,Student,
19911023TXOAD,,Fatal,Male,Student,
19911106LAWAN,,Fatal,Male,Student,
19911106LAWAN,,Wounded,Male,Student,
19911111TXYSE,,Fatal,Male,Student,15.0
19911111TXYSE,,Wounded,Male,Student,18.0
19911114TXMIH,,Wounded,Male,Student,18.0
19911125NYTHB,,Fatal,Male,Student,16.0
19911125NYTHB,,Wounded,Male,Teacher,48.0
19911226NCWHW,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,
19911226NCWHW,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,
19920128LAFRG,,Wounded,Male,Student,14.0
19920131LAFRG,,Wounded,Male,Student,13.0
19920206OKDOO,,Fatal,Male,Student,
19920207VABON,,Fatal,Male,Student,19.0
19920207VABON,,Wounded,Male,Student,18.0
19920226NYTHB,,Fatal,Male,Student,17.0
19920226NYTHB,,Fatal,Male,Student,16.0
19920305OHHAO,,Wounded,Male,Student,
19920331LAOPA,,Fatal,Male,Student,
19920409FLFOF,,Wounded,Male,Student,18.0
19920417TXLID,,Fatal,Male,Former Student,
19920501CALIO,,Fatal,Male,Teacher,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Teacher,
19920501CALIO,,Fatal,Male,Student,16.0
19920501CALIO,,Fatal,Male,Student,17.0
19920501CALIO,,Fatal,Male,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920501CALIO,,Wounded,,Student,
19920514CASIN,,Wounded,Male,Student,
19920514CASIN,,Wounded,Male,Student,
19920514TXHUH,,Wounded,Male,Student,
19920529CAVEL,,Wounded,Male,Student,
19920529CAVEL,,Wounded,Male,Student,
19920529CAVEL,,Wounded,Male,Student,
19920606CAMEM,,Wounded,Male,Former Student,23.0
19920911TXPAA,,Wounded,Male,Student,
19920911TXPAA,,Wounded,Male,Student,
19920911TXPAA,,Wounded,Male,Student,
19920911TXPAA,,Wounded,Male,Student,
19920911TXPAA,,Wounded,Male,Student,
19920911TXPAA,,Wounded,Male,Student,
19920911TXPAA,,Wounded,Male,Student,
19920928CAHIS,,Wounded,Male,Student,16.0
19920928CAHIS,,Wounded,Male,Student,18.0
19920930TXHOH,,Fatal,Male,Gang Member,
19920930TXHOH,,Wounded,Male,Gang Member,
19921013AZDET,,Fatal,Male,Student,16.0
19921019NYEVB,,Wounded,Female,Student,14.0
19921019NYEVB,,Wounded,Female,Student,14.0
19921019NYEVB,,Wounded,Male,Student,16.0
19921104MIFID,,Minor Injuries,,Student,
19921104MIFID,,Minor Injuries,,Student,
19921104MIFID,,Minor Injuries,,Student,
19921104MIFID,,Minor Injuries,,Student,
19921104MIFID,,Minor Injuries,,Student,
19921104MIFID,,Minor Injuries,,Student,
19921104MIFID,,Minor Injuries,,Student,
19921104MIMAD,,Wounded,Male,Student,16.0
19921104MIMUD,,Wounded,Male,No Relation,
19921104MIMUD,,Wounded,Male,No Relation,
19921104MIMUD,,Wounded,Male,No Relation,
19921110ILSHC,,,Male,Student,13.0
19921113TXLAC,,Fatal,Female,Teacher,39.0
19921116ALFAB,,Fatal,Male,Student,16.0
19921120ILTIC,,Fatal,Male,Student,15.0
19921120ILTIC,,Wounded,Male,Student,17.0
19921120ILTIC,,Wounded,Male,Student,15.0
19921124ALROM,,Wounded,Female,Student,18.0
19921130ILORC,,Wounded,Male,Student,16.0
19921203ILWOC,,Fatal,Male,No Relation,19.0
19921203ILWOC,,Wounded,Male,No Relation,25.0
19921214NYWAW,,Wounded,Female,Teacher,49.0
19930105NYBRB,,Wounded,Male,Former Student,19.0
19930112FLNOM,Black,Fatal,Male,Student,18.0
19930118KYEAG,,Fatal,Male,Teacher,48.0
19930118KYEAG,,Fatal,Female,Teacher,51.0
19930121CAFAL,,Fatal,Male,Student,17.0
19930121CAFAL,,Wounded,Male,Student,16.0
19930201NYAMA,,Fatal,Male,Nonstudent,17.0
19930201NYAMA,,Wounded,Male,Nonstudent,17.0
19930201WARER,,,Male,Student,14.0
19930204GACLA,,Fatal,Male,Student,
19930208DCWAW,,Fatal,Male,Student,21.0
19930208MNMIM,,,Male,Student,14.0
19930222CAREL,,Fatal,Male,Student,17.0
19930226MAGLG,,,Male,Student,15.0
19930308VADOD,White,Fatal,Female,Teacher,45.0
19930318GAHAH,,Wounded,Male,Student,15.0
19930318GAHAH,,Fatal,Male,Student,17.0
19930325MOSUS,,Fatal,Male,Student,17.0
19930403CAGRS,,Fatal,Male,Student,16.0
19930403CAGRS,,Wounded,Male,Student,18.0
19930415MAFOA,,Fatal,Female,Other Staff,52.0
19930416CAGRS,,Fatal,Male,Other Staff,43.0
19930416WAMOT,,,Female,No Relation,33.0
19930514TXNII,,Fatal,Male,Student,17.0
19930524PAUPP,,Fatal,Male,Student,16.0
19930527LAFRN,Black,Fatal,Male,Former Student,15.0
19930707CADOL,,Fatal,Male,Student,15.0
19930803NYTHN,,Wounded,Male,Student,18.0
19930831GAHAA,Black,Fatal,Male,Student,15.0
19930901KSJUJ,,Wounded,Female,Student,14.0
19930902TXROD,Black,Fatal,Male,Student,15.0
19930916ILROC,,Fatal,,,
19930917ILDOD,,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,
19930917WYCES,,Minor Injuries,Male,Student,
19930917WYCES,,Minor Injuries,Male,Student,
19930917WYCES,,Minor Injuries,Male,Student,
19930917WYCES,,Minor Injuries,Female,Student,
19930925DCWEW,,Fatal,Male,No Relation,23.0
19930925DCWEW,,Fatal,Female,No Relation,4.0
19930928MSCOG,,Fatal,Male,Student,
19931012DEDON,,,Female,Student,16.0
19931018DCJHW,,Wounded,Male,Student,13.0
19931101ILSUC,,Fatal,Male,Student,15.0
19931104CTNEN,,Fatal,Male,Student,18.0
19931104FLTEJ,,Fatal,Male,Student,14.0
19931104MSBAB,,Fatal,Male,Student,16.0
19931111ILRIS,,Fatal,Male,No Relation,14.0
19931201WIWAW,,Fatal,Male,Teacher,46.0
19931202CTNEN,White,Fatal,Male,Student,18.0
19931208GABES,,Fatal,Male,Student,15.0
19931215CACHS,,Fatal,Male,Student,17.0
19931217MICHC,,Fatal,Male,Other Staff,
19931217MICHC,,Wounded,Male,Teacher,
19931217MICHC,,Wounded,Male,Teacher,
19940120CALOH,,Fatal,Male,Student,17.0
19940121TXKEK,,,Male,Student,17.0
19940124SCEAC,,Fatal,Male,Student,17.0
19940126DCELW,,,,,
19940126DCPAW,,,,,
19940127CAWAS,Hispanic,Fatal,Male,Parent,22.0
19940131WAWHS,,Fatal,Male,Teacher,45.0
19940208MIOSD,,Fatal,Male,Student,19.0
19940218SCSPS,,Wounded,Male,No Relation,24.0
19940301MOKEB,,Fatal,Male,Other Staff,58.0
19940301MOKEB,,Fatal,Male,Other Staff,33.0
19940303ALENB,,Wounded,Male,Student,15.0
19940309DCEAW,,Fatal,Male,Student,17.0
19940315SCGOC,,Fatal,Male,Student,18.0
19940323WABAS,,Fatal,Male,Student,16.0
19940323WABAS,,Wounded,Female,Student,
19940325GAETC,,,Male,Student,15.0
19940405TXMCA,,Wounded,Female,Student,18.0
19940405TXMCA,,Wounded,Female,Student,17.0
19940408MDLAU,,Wounded,Male,Teacher,45.0
19940412MTMAB,White,Fatal,Male,Student,11.0
19940413CA49L,,,Male,Student,10.0
19940419DCELW,,Fatal,Male,No Relation,21.0
19940420INDIS,Black,Wounded,Male,Student,14.0
19940421TNJTN,Black,Fatal,Male,Student,13.0
19940502FLNON,,Fatal,Female,Student,18.0
19940525INLAS,,Wounded,Male,Student,15.0
19940525NJLAW,,,Female,Student,17.0
19940526KYLAU,,,,,
19940724PAMAM,,Fatal,Male,No Relation,23.0
19940725IAOTO,,Fatal,Male,Student,15.0
19940907CAHOL,,Fatal,Male,Student,17.0
19940908NYSWA,,Wounded,Male,Student,16.0
19940919CALOL,,Wounded,Female,Student,16.0
19940919CALOL,,Wounded,Male,Student,16.0
19940919CALOL,,Wounded,Male,Student,16.0
19940922ORLEL,,Wounded,Male,Student,15.0
19941012NCGRG,,Wounded,Male,Principal/Vice-Principal,
19941017ILHUC,,Wounded,Female,Student,16.0
19941031CAALA,,,Male,Student,
19941105CATHS,,Fatal,Female,No Relation,
19941107OHWIW,,Fatal,Male,Other Staff,
19941107OHWIW,,Wounded,Male,Principal/Vice-Principal,
19941107OHWIW,,Wounded,Male,Teacher,
19941107OHWIW,,Wounded,Male,Teacher,
19941107OHWIW,,Wounded,Male,Police Officer/SRO,
19941108IAWEM,,Wounded,Female,Other Staff,
19941115WASTT,,,Male,Student,
19950105DCCAW,,Fatal,Male,Student,
19950110FLPAP,,,Male,Student,
19950112WAGAS,,Wounded,Male,Student,
19950112WAGAS,,Wounded,Female,Student,
19950123CASAR,,Fatal,Male,Principal/Vice-Principal,
19950124DCSPW,,Wounded,Male,Student,16.0
19950202CAJOL,,Fatal,Male,Student,
19950202CAJOL,,Wounded,Male,Student,
19950208NECHS,,Wounded,Male,Teacher,35.0
19950303MIPED,,Wounded,Male,Student,16.0
19950327MIRED,,Wounded,Female,Student,15.0
19950614FLLAL,,Wounded,Male,Former Student,
19950614FLLAL,,Wounded,Female,Student,
19950829TXMEL,,Fatal,Female,Student,12.0
19950912TNCYM,,Fatal,Male,Student,15.0
19950914KSOLO,,Fatal,Male,Student,
19950914KSOLO,,Fatal,Male,Former Student,
19950914KSOLO,,Wounded,Male,Student,
19950914KSOLO,,Wounded,Male,Student,
19950914KSOLO,,Wounded,Male,Student,
19950914KSOLO,,Wounded,Male,Student,
19950915KYGEW,,,,Student,
19950927ALBLP,,Wounded,Male,Student,18.0
19950929FLTAT,Black,Fatal,Male,Student,13.0
19951012SCBLB,,Wounded,Male,Teacher,
19951012SCBLB,,Fatal,Male,Teacher,
19951023FLLAC,,,Female,Student,16.0
19951030VAJOR,,Wounded,Male,Student,
19951030VAJOR,,Wounded,Female,Student,16.0
19951030VAJOR,,Wounded,Female,Student,16.0
19951030VAJOR,,Wounded,Female,Student,17.0
19951102FLBLM,,Minor Injuries,,Student,
19951115TNRIL,,Wounded,Female,Teacher,49.0
19951115TNRIL,,Fatal,Female,Teacher,58.0
19951115TNRIL,,Fatal,Female,Student,16.0
19951128NYTHN,,Fatal,Male,Student,17.0
19960102PAGIG,,,Male,Student,16.0
19960119DCWIW,Black,Fatal,Male,Relative,14.0
19960126TNEAM,Black,Fatal,Male,Student,15.0
19960202WAFRM,,Fatal,Male,Student,14.0
19960202WAFRM,,Fatal,Female,Teacher,49.0
19960202WAFRM,,Fatal,Male,Student,14.0
19960202WAFRM,,Wounded,Female,Student,13.0
19960208CAMIM,,Wounded,Male,Student,14.0
19960222GAJES,Black,Fatal,Male,Student,17.0
19960229MOBES,Black,Fatal,Female,Relative,1.0
19960229MOBES,Black,Fatal,Female,Student,15.0
19960229MOBES,Black,Wounded,Male,Bus Driver,60.0
19960311NCNON,White,,Male,Student,15.0
19960319NVSWL,,Minor Injuries,Male,Student,
19960319NVSWL,,Minor Injuries,Male,Student,
19960411ALTAT,,Fatal,Male,Student,18.0
19960415DCMCW,,Fatal,Male,Former Student,23.0
19960514UTBIT,,Wounded,Female,Bus Driver,
19960522CACOC,,Fatal,Male,Student,14.0
19960604CAWEH,,,Male,Student,16.0
19960726CAJOL,Hispanic,Wounded,Male,Student,16.0
19960726CAJOL,Hispanic,Wounded,Female,Student,17.0
19960925GADED,,Fatal,Male,Teacher,49.0
19961002PASMP,,Fatal,Female,Relative,19.0
19961002PASMP,,Fatal,Female,Parent,26.0
19961004CASTP,,Fatal,Male,Student,18.0
19961004CASTP,,Wounded,Male,Unknown,
19961009ARJAS,,Fatal,Male,Student,20.0
19961014MOSUS,,Fatal,Male,Student,17.0
19961127CAHIS,,Fatal,Male,Student,19.0
19970108NYCRN,,Fatal,Male,Student,18.0
19970108NYCRN,,Wounded,Male,Student,15.0
19970108NYCRN,,Wounded,Male,Student,15.0
19970108NYCRN,,Wounded,Male,Student,16.0
19970127FLCOW,,Fatal,Male,Student,14.0
19970206MSWIJ,Black,Wounded,Male,Student,17.0
19970213NYMOB,,Wounded,Male,Student,17.0
19970213NYSAB,,Wounded,Male,Student,16.0
19970219AKBEB,,Wounded,Male,Student,14.0
19970219AKBEB,,Fatal,Male,Student,15.0
19970219AKBEB,,Wounded,Male,Student,16.0
19970219AKBEB,,Fatal,Male,Other Staff,50.0
19970220FLFIJ,,,Female,Student,17.0
19970221NVRAL,Hispanic,Wounded,Male,Student,16.0
19970317MIPED,,Fatal,Male,Student,16.0
19970403CAMAM,,Fatal,Male,Student,14.0
19970428CAJOL,,Fatal,Male,Student,17.0
19970430NYCIN,,Fatal,Male,Student,19.0
19970513FLNOM,,Wounded,Male,Student,14.0
19970520OHDUD,,Wounded,Male,Student,16.0
19970624ALJEM,,Fatal,Male,Student,18.0
19971001MSPEP,,Fatal,Female,Student,16.0
19971001MSPEP,,Fatal,Female,Student,17.0
19971001MSPEP,,Wounded,,Student,
19971001MSPEP,,Wounded,,Student,
19971001MSPEP,,Wounded,,Student,
19971001MSPEP,,Wounded,,Student,
19971001MSPEP,,Wounded,,Student,
19971001MSPEP,,Wounded,,Student,
19971001MSPEP,,Wounded,,Student,
19971005OKMOO,,Wounded,Male,Unknown,17.0
19971010INWAG,,Fatal,Female,Student,
19971010INWAG,,Wounded,Female,Student,16.0
19971010INWAG,,Wounded,Male,Student,19.0
19971014TXLAG,,,Male,Student,19.0
19971015FLLIP,,Wounded,Male,Student,13.0
19971020CAMCO,,Fatal,Female,Student,16.0
19971020CAMCO,,Wounded,Female,Student,16.0
19971020CAMCO,,Wounded,Male,,22.0
19971022CAJON,,Fatal,Female,Student,16.0
19971107FLRIJ,,Wounded,Male,Student,17.0
19971107FLRIJ,,Fatal,Male,Student,14.0
19971113CACRS,,Fatal,Male,Parent,47.0
19971201KYHEW,,Fatal,Female,Student,14.0
19971201KYHEW,,Fatal,Female,Student,17.0
19971201KYHEW,,Fatal,Female,Student,15.0
19971201KYHEW,,Wounded,Male,Student,15.0
19971201KYHEW,,Wounded,Female,Student,16.0
19971201KYHEW,,Wounded,Female,Student,17.0
19971201KYHEW,,Wounded,Female,Student,16.0
19971201KYHEW,,Wounded,Female,Student,14.0
19971215ARSTS,,Wounded,Male,Student,15.0
19971215ARSTS,,Wounded,Female,Student,17.0
19980212NJHOH,,Fatal,Male,Teacher,48.0
19980225MIRER,,,Male,Student,14.0
19980227VAMAF,,Fatal,Male,Student,17.0
19980324ARWEJ,,Fatal,Female,Student,12.0
19980324ARWEJ,,Wounded,,Student,11.0
19980324ARWEJ,,Wounded,,Student,12.0
19980324ARWEJ,,Wounded,,Student,13.0
19980324ARWEJ,,Wounded,,Student,13.0
19980324ARWEJ,,Wounded,,Student,11.0
19980324ARWEJ,,Wounded,,Teacher,42.0
19980324ARWEJ,,Fatal,Female,Student,12.0
19980324ARWEJ,,Fatal,Female,Student,12.0
19980324ARWEJ,,Fatal,Female,Student,11.0
19980324ARWEJ,,Fatal,Female,Teacher,32.0
19980324ARWEJ,,Wounded,,Student,13.0
19980324ARWEJ,,Wounded,,Student,13.0
19980324ARWEJ,,Wounded,,Student,12.0
19980324ARWEJ,,Wounded,,Student,12.0
19980325CAFED,,,Male,Principal/Vice-Principal,
19980325MICOC,,,Male,Student,18.0
19980330NCGRC,,,Female,Student,13.0
19980331WIOAO,,,,,
19980423CACUL,,Wounded,Male,Student,
19980423CACUL,,Wounded,Male,Student,
19980424PAPAE,,Fatal,Male,Teacher,48.0
19980424PAPAE,,Wounded,Male,Student,14.0
19980424PAPAE,,Wounded,Male,Student,14.0
19980424PAPAE,,Wounded,Male,Student,
19980428CAPHP,,Fatal,Male,No Relation,17.0
19980428CAPHP,,Wounded,Male,No Relation,14.0
19980428CAPHP,,Wounded,Male,No Relation,15.0
19980428WIPAP,,Wounded,Male,Other Staff,40.0
19980501FLNOM,,Wounded,Male,Student,17.0
19980501NYPUB,,Fatal,Female,Other Staff,30.0
19980501NYPUB,,Wounded,Female,Teacher,30.0
19980519TNLIF,,Fatal,Male,Student,18.0
19980521CARIR,,,Male,Student,15.0
19980521ORTHS,,Fatal,Male,Student,17.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,18.0
19980521ORTHS,,Wounded,,Student,14.0
19980521ORTHS,,Wounded,,Student,16.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,16.0
19980521ORTHS,,Wounded,,Student,18.0
19980521ORTHS,,Wounded,,Student,15.0
19980521ORTHS,,Wounded,,Student,15.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Fatal,Male,Student,
19980521ORTHS,,Wounded,,Student,16.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,15.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,
19980521ORTHS,,Wounded,,Student,
19980521ORTHS,,Wounded,,Student,
19980521ORTHS,,Wounded,,Student,16.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,17.0
19980521ORTHS,,Wounded,,Student,16.0
19980521ORTHS,,Wounded,,Student,17.0
19980521WAONO,,,Male,Student,15.0
19980527CAWAP,,Fatal,Male,,14.0
19980527CAWAP,,Fatal,Male,,20.0
19980529FLSTF,White,Fatal,Female,Teacher,26.0
19980615VAARR,,Wounded,Male,Teacher,45.0
19980615VAARR,,Wounded,Female,Teacher,74.0
19980911CAHEG,,Wounded,Male,Student,15.0
19980930FLLEL,,,Male,Student,17.0
19980930FLNOM,,Wounded,Male,Student,15.0
19980930FLNOM,,Wounded,Male,Student,17.0
19980930FLNOM,,Wounded,Male,Teacher,
19981103PAMAP,,Fatal,Male,Student,16.0
19981130NYHAH,,,Female,Student,14.0
19981203INERG,,Wounded,Female,Teacher,29.0
19981211INBEI,,Wounded,Male,Student,
19990108GACEC,,,,,
19990114NYHAN,,Wounded,Male,Student,18.0
19990114NYHAN,,Wounded,Male,Student,16.0
19990121TXRIN,,,Male,Student,15.0
19990211ILOME,,Fatal,Male,Student,14.0
19990211MSJEP,,,Female,Teacher,
19990304ILNIS,,Wounded,Male,Police Officer/SRO,57.0
19990416IDNON,,,,,
